tName,link,lecname,lecture,content
N3,https://www.wikidata.org/wiki/Q1424987,Knowledge Graphs - Vocabularies and Ontologies,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs_-_Vocabularies_and_Ontologies,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs%20-%20Vocabularies%20and%20Ontologies.txt
N3,https://www.wikidata.org/wiki/Q1424987,Knowledge Graphs,http://uni.com/data/COMP_474_6741-GCS_143_Knowledge_Graphs,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Knowledge%20Graphs.txt
Concordia_University,https://www.wikidata.org/wiki/Q326342,Lab Session #05,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_05,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#05.txt
Concordia_University,https://www.wikidata.org/wiki/Q326342,Lab Session #04,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_04,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#04.txt
Concordia_University,https://www.wikidata.org/wiki/Q326342,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,https://plato.stanford.edu/entries/artificial-intelligence/
Concordia_University,https://www.wikidata.org/wiki/Q326342,Intelligent Agents,http://uni.com/data/COMP_474_6741-GCS_143_Intelligent_Agents,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Lectures/Intelligent%20Agents.txt
Concordia_University,https://www.wikidata.org/wiki/Q326342,Lab Session #03,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_03,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#03.txt
Concordia_University,https://www.wikidata.org/wiki/Q326342,Lab Session #02,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_02,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#02.txt
Java,https://www.wikidata.org/wiki/Q251,Lab Session #04,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_04,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#04.txt
Java,https://www.wikidata.org/wiki/Q251,Lab Session #02,http://uni.com/data/COMP_474_6741-GCS_143_Lab_Session_02,file:////Users/danielgrimut/Documents/GitHub/Knowledge_AI/COMP%20474_6741-GCS_143/Labs/Lab%20Session%20#02.txt
